,dur,proto,service,state,spkts,dpkts,sbytes,dbytes,rate,sttl,dttl,sload,dload,sloss,dloss,sinpkt,dinpkt,sjit,djit,swin,stcpb,dtcpb,dwin,tcprtt,synack,ackdat,smean,dmean,trans_depth,response_body_len,ct_srv_src,ct_state_ttl,ct_dst_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,is_ftp_login,ct_ftp_cmd,ct_flw_http_mthd,ct_src_ltm,ct_srv_dst,is_sm_ips_ports,attack_cat,label
48866,0.179422,tcp,http,FIN,10,6,888,268,83.601785,254,252,35670.09375,9987.626953,2,1,18.801444,34.297801,1004.215673,60.206633,255,4164751767,3459933746,255,0.060319,0.007924,0.052395,89,45,1,0,1,1,1,1,1,1,0,0,1,1,1,0,Reconnaissance,1
48867,4e-06,udp,-,INT,2,0,168,0,250000.0006,254,0,168000000.0,0.0,0,0,0.004,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,84,0,0,0,1,2,1,1,1,1,0,0,0,1,2,0,Reconnaissance,1
48869,0.649247,tcp,-,FIN,10,8,564,354,26.18418,254,252,6259.559082,3819.809814,2,1,70.600889,91.096289,5355.539117,141.667313,255,2465885031,3433634084,255,0.056952,0.011568,0.045384,56,44,0,0,1,1,1,1,1,1,0,0,0,1,1,0,Reconnaissance,1
48872,0.638471,tcp,-,FIN,10,8,564,354,26.626111,254,252,6365.207031,3884.279785,2,1,70.438778,90.273859,5575.167182,140.161422,255,3420231072,4060011150,255,0.052158,0.006546,0.045612,56,44,0,0,1,1,1,1,1,1,0,0,0,1,1,0,Reconnaissance,1
48874,9e-06,udp,-,INT,2,0,168,0,111111.1072,254,0,74666664.0,0.0,0,0,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,84,0,0,0,2,2,1,1,1,2,0,0,0,1,2,0,Reconnaissance,1
48878,0.226868,tcp,http,FIN,10,6,830,268,66.117741,254,252,26341.30859,7898.866211,2,1,24.265778,35.893,1280.046656,57.087191,255,653585511,143028413,255,0.08449,0.0474,0.03709,83,45,1,0,1,1,1,1,1,1,0,0,1,1,1,0,Reconnaissance,1
48884,0.832441,tcp,-,FIN,10,8,564,354,20.421868,254,252,4882.027832,2979.190186,2,1,90.360222,110.045141,6786.801342,156.347109,255,540354170,523658609,255,0.105836,0.062116,0.04372,56,44,0,0,1,1,1,1,1,1,0,0,0,2,1,0,Reconnaissance,1
48886,0.68952,tcp,-,FIN,10,8,564,354,24.654832,254,252,5893.955078,3596.704834,2,1,75.444444,96.77443,5886.36857,147.178422,255,2515992005,2195042695,255,0.062694,0.012089,0.050605,56,44,0,0,1,1,1,1,1,1,0,0,0,1,2,0,Reconnaissance,1
48887,0.193383,tcp,http,FIN,10,6,864,268,77.566283,254,252,32184.83594,9266.584961,2,1,19.142556,37.287801,1024.15899,61.725602,255,542287546,1908671016,255,0.053563,0.006935,0.046628,86,45,1,0,2,1,1,2,1,1,0,0,1,2,2,0,Reconnaissance,1
48888,0.633506,tcp,-,FIN,10,8,564,354,26.834789,254,252,6415.093262,3914.722168,2,1,69.598444,89.381289,5441.77731,137.813687,255,945358452,4221501077,255,0.05278,0.007828,0.044952,56,44,0,0,1,1,1,1,1,1,0,0,0,1,1,0,Reconnaissance,1
48889,3e-06,udp,-,INT,2,0,168,0,333333.3215,254,0,224000000.0,0.0,0,0,0.003,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,84,0,0,0,1,2,2,1,1,1,0,0,0,1,1,0,Reconnaissance,1
48891,3e-06,udp,-,INT,2,0,168,0,333333.3215,254,0,224000000.0,0.0,0,0,0.003,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,84,0,0,0,1,2,1,1,1,1,0,0,0,1,1,0,Reconnaissance,1
48897,9e-06,udp,-,INT,2,0,168,0,111111.1072,254,0,74666664.0,0.0,0,0,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,84,0,0,0,2,2,1,1,1,1,0,0,0,2,1,0,Reconnaissance,1
48902,8e-06,udp,-,INT,2,0,168,0,125000.0003,254,0,84000000.0,0.0,0,0,0.008,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,84,0,0,0,1,2,1,1,1,1,0,0,0,1,1,0,Reconnaissance,1
48904,0.245386,tcp,http,FIN,10,6,878,268,61.128181,254,252,25787.94141,7302.779785,2,1,25.250333,39.883,1259.165112,55.111438,255,172170659,2027164343,255,0.075764,0.045964,0.0298,88,45,1,0,1,1,1,1,1,1,0,0,1,2,1,0,Reconnaissance,1
48915,3e-06,udp,-,INT,2,0,168,0,333333.3215,254,0,224000000.0,0.0,0,0,0.003,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,84,0,0,0,2,2,1,1,1,1,0,0,0,1,1,0,Reconnaissance,1
48916,9e-06,udp,-,INT,2,0,168,0,111111.1072,254,0,74666664.0,0.0,0,0,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,84,0,0,0,1,2,1,1,1,2,0,0,0,1,2,0,Reconnaissance,1
48921,1.4e-05,udp,-,INT,2,0,168,0,71428.57045,254,0,48000000.0,0.0,0,0,0.014,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,84,0,0,0,2,2,1,1,1,1,0,0,0,1,1,0,Reconnaissance,1
48922,0.626605,tcp,-,FIN,10,8,564,354,27.13033,254,252,6485.745117,3957.836426,2,1,69.160222,88.59757,5430.71726,138.249094,255,2508911846,2175874980,255,0.050636,0.006413,0.044223,56,44,0,0,1,1,1,1,1,1,0,0,0,1,2,0,Reconnaissance,1
48923,0.669079,tcp,-,FIN,10,8,564,354,25.408061,254,252,6074.020996,3706.587646,2,1,72.355444,94.6,5703.87166,141.752922,255,1822971273,677869144,255,0.053324,0.006877,0.046447,56,44,0,0,1,1,1,1,1,1,0,0,0,1,1,0,Reconnaissance,1
48924,7e-06,udp,-,INT,2,0,168,0,142857.1409,254,0,96000000.0,0.0,0,0,0.007,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,84,0,0,0,1,2,2,1,1,1,0,0,0,1,1,0,Reconnaissance,1
48925,0.182997,tcp,http,FIN,10,6,880,268,81.968555,254,252,34623.51953,9792.509766,2,1,18.640778,35.035199,993.999065,59.116027,255,748246080,877878008,255,0.053469,0.007812,0.045657,88,45,1,0,1,1,1,1,1,1,0,0,1,1,2,0,Reconnaissance,1
48928,0.569211,ospf,-,INT,20,0,1040,0,33.379537,254,0,13885.8877,0.0,0,0,29.958475,0.0,36.541867,0.0,0,0,0,0,0.0,0.0,0.0,52,0,0,0,1,2,1,1,1,1,0,0,0,1,1,0,Reconnaissance,1
48931,1e-05,udp,-,INT,2,0,168,0,100000.0025,254,0,67200000.0,0.0,0,0,0.01,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,84,0,0,0,1,2,1,1,1,1,0,0,0,1,1,0,Reconnaissance,1
48947,0.419535,tcp,http,FIN,10,6,860,268,35.753869,254,252,14759.19727,4271.395508,2,1,39.489556,72.220602,2092.346493,90.238508,255,2038380423,463493,255,0.127253,0.058426,0.068827,86,45,1,0,1,1,1,1,1,1,0,0,1,1,1,0,Reconnaissance,1
48959,9e-06,udp,-,INT,2,0,168,0,111111.1072,254,0,74666664.0,0.0,0,0,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,84,0,0,0,2,2,1,1,1,1,0,0,0,1,1,0,Reconnaissance,1
48963,0.78027,tcp,-,FIN,10,8,564,354,21.787331,254,252,5208.453613,3178.386963,2,1,82.696889,101.632289,5935.576864,143.083719,255,417702434,3141390824,255,0.143893,0.068835,0.075058,56,44,0,0,9,1,1,1,1,1,0,0,0,2,1,0,Reconnaissance,1
48973,8e-06,udp,-,INT,2,0,168,0,125000.0003,254,0,84000000.0,0.0,0,0,0.008,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,84,0,0,0,2,2,2,1,1,1,0,0,0,2,6,0,Reconnaissance,1
48976,5e-06,udp,-,INT,2,0,168,0,200000.0051,254,0,134400000.0,0.0,0,0,0.005,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,84,0,0,0,6,2,1,1,1,1,0,0,0,5,1,0,Reconnaissance,1
48998,1.991371,tcp,-,FIN,10,8,564,354,8.536832,254,252,2040.805054,1245.373169,2,1,221.263444,268.009437,12778.47793,402.093687,255,337426326,3205209195,255,0.261812,0.114934,0.146878,56,44,0,0,5,1,1,1,1,1,0,0,0,2,1,0,Reconnaissance,1
49001,1.482555,tcp,-,FIN,10,8,564,354,11.466691,254,252,2741.213623,1672.787842,2,1,164.628,197.211859,9286.284174,322.337094,255,3943856654,1046347990,255,0.211791,0.102063,0.109728,56,44,0,0,3,1,1,1,1,1,0,0,0,2,1,0,Reconnaissance,1
49003,1.33242,tcp,-,FIN,10,8,564,354,12.75874,254,252,3050.089355,1861.275024,2,1,143.119778,167.381,8512.397517,232.337609,255,2535014329,208041499,255,0.271755,0.16075,0.111005,56,44,0,0,7,1,1,1,1,1,0,0,0,2,1,0,Reconnaissance,1
49009,1.863138,tcp,-,FIN,10,8,564,354,9.124391,254,252,2181.266357,1331.087646,2,1,202.184667,251.450141,15391.63018,390.219031,255,3845807846,963392994,255,0.278507,0.102985,0.175522,56,44,0,0,7,1,1,1,1,1,0,0,0,2,2,0,Reconnaissance,1
49037,1.43135,tcp,-,FIN,10,8,564,354,11.876899,254,252,2839.277588,1732.630005,2,1,155.008889,190.731281,10015.56638,275.316,255,2064297844,4166746144,255,0.16995,0.096222,0.073728,56,44,0,0,1,1,1,1,1,1,0,0,0,1,1,0,Reconnaissance,1
49045,1.73978,tcp,-,FIN,10,8,564,354,9.771351,254,252,2335.92749,1425.467651,2,1,186.954111,234.688422,12659.68606,340.494375,255,3457125783,2990468017,255,0.202569,0.096958,0.105611,56,44,0,0,1,1,1,1,1,1,0,0,0,1,1,0,Reconnaissance,1
49047,3.151742,tcp,http,FIN,10,8,942,354,5.393843,254,252,2152.460449,786.866455,2,1,345.136222,437.936562,21637.29155,750.359312,255,795379478,216282967,255,0.226647,0.086177,0.14047,94,44,1,0,1,1,2,1,1,1,0,0,1,1,2,0,Reconnaissance,1
49060,2.504564,tcp,-,FIN,10,8,564,354,6.787608,254,252,1622.637695,990.192261,2,1,278.174889,339.592719,16429.90912,548.071563,255,3502366235,812599879,255,0.264452,0.127406,0.137046,56,44,0,0,1,1,1,1,1,2,0,0,0,1,1,0,Reconnaissance,1
49073,1.28194,tcp,http,FIN,10,8,1022,354,13.261151,254,252,5741.29834,1934.567993,2,1,142.347,169.447719,7976.723865,293.328688,255,3626906084,22058866,255,0.226978,0.095804,0.131174,102,44,1,0,1,1,1,1,1,1,0,0,1,1,1,0,Reconnaissance,1
49074,1.93347,tcp,-,FIN,10,8,564,354,8.792482,254,252,2101.92041,1282.667969,2,1,214.730667,260.208719,13095.63093,386.397594,255,474446846,1608724119,255,0.253951,0.112,0.141951,56,44,0,0,3,1,1,1,1,3,0,0,0,2,1,0,Reconnaissance,1
49106,2.749292,tcp,-,FIN,10,8,564,354,6.18341,254,252,1478.198853,902.050476,2,1,301.957,382.149156,19442.15235,674.900188,255,284670483,502175120,255,0.141123,0.074239,0.066884,56,44,0,0,2,1,1,1,1,1,0,0,0,2,1,0,Reconnaissance,1
49110,1.368905,tcp,-,FIN,10,8,564,354,12.418685,254,252,2968.796387,1811.667114,2,1,145.858333,177.275422,8971.690672,247.624609,255,2338676894,3965773273,255,0.227948,0.127974,0.099974,56,44,0,0,2,1,1,1,1,1,0,0,0,1,1,0,Reconnaissance,1
49112,1.347022,tcp,-,FIN,10,8,564,354,12.620432,254,252,3017.025635,1841.098267,2,1,144.366222,176.829719,8531.542441,262.480062,255,1618705374,2659204971,255,0.194988,0.109204,0.085784,56,44,0,0,2,1,1,1,1,1,0,0,0,2,2,0,Reconnaissance,1
49118,1.272776,tcp,-,FIN,10,8,564,354,13.356631,254,252,3193.020508,1948.496826,2,1,137.565222,167.152859,8968.988896,226.544375,255,1269764433,2933831638,255,0.221925,0.102705,0.11922,56,44,0,0,1,1,1,1,1,1,0,0,0,1,1,0,Reconnaissance,1
49121,2.067288,tcp,-,FIN,10,8,564,354,8.223334,254,252,1965.860718,1199.639404,2,1,229.627889,280.268,15373.60395,427.719375,255,3533270037,2681283317,255,0.207697,0.105406,0.102291,56,44,0,0,1,1,1,1,1,1,0,0,0,1,3,0,Reconnaissance,1
49131,4e-06,udp,-,INT,2,0,168,0,250000.0006,254,0,168000000.0,0.0,0,0,0.004,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,84,0,0,0,2,2,1,1,1,3,0,0,0,1,2,0,Reconnaissance,1
49132,1.011924,tcp,http,FIN,10,8,934,354,16.79968,254,252,6648.720703,2450.776855,2,1,108.857889,129.65743,5978.777092,229.8515,255,3580407023,1286751399,255,0.262848,0.104319,0.158529,93,44,1,0,1,1,1,1,1,1,0,0,1,1,2,0,Reconnaissance,1
49133,0.897025,tcp,-,FIN,10,8,564,354,18.951534,254,252,4530.531738,2764.694336,2,1,97.422667,117.741289,6506.102984,160.258734,255,1275577232,2671861376,255,0.150498,0.072835,0.077663,56,44,0,0,2,1,2,1,1,2,0,0,0,2,1,0,Reconnaissance,1
49135,1.254576,tcp,-,FIN,10,8,564,354,13.550395,254,252,3239.341553,1976.76355,2,1,139.397333,170.933422,10005.93919,245.558625,255,4128126184,4150571777,255,0.128934,0.057248,0.071686,56,44,0,0,7,1,1,2,1,1,0,0,0,4,1,0,Reconnaissance,1
49139,3.056254,tcp,-,FIN,10,8,564,354,5.562365,254,252,1329.732422,811.450928,2,1,339.570444,417.338719,20808.38351,649.64275,255,1602077944,679102847,255,0.195397,0.134877,0.06052,56,44,0,0,1,1,2,1,1,1,0,0,0,1,1,0,Reconnaissance,1
49145,1.315218,tcp,-,FIN,10,8,564,354,12.925614,254,252,3089.982178,1885.619019,2,1,146.016444,175.536422,8262.8125,274.397094,255,750537562,1458686663,255,0.224334,0.086462,0.137872,56,44,0,0,3,1,1,1,1,1,0,0,0,1,1,0,Reconnaissance,1
49150,1.078167,sctp,-,CON,4,2,728,384,4.637501,254,60,4051.320557,1424.640259,0,0,359.389,0.003,508.239375,0.0,0,0,0,0,0.0,0.0,0.0,182,192,0,0,1,0,1,1,1,1,0,0,0,1,1,0,Reconnaissance,1
49237,2.123099,tcp,-,FIN,10,8,564,354,8.007163,254,252,1914.182861,1168.10376,2,1,229.725556,291.995,14195.39664,434.256281,255,3662643299,2220064440,255,0.172839,0.079133,0.093706,56,44,0,0,5,1,1,1,1,1,0,0,0,1,1,0,Reconnaissance,1
49240,7e-06,udp,-,INT,2,0,168,0,142857.1409,254,0,96000000.0,0.0,0,0,0.007,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,84,0,0,0,4,2,1,1,1,3,0,0,0,1,3,0,Reconnaissance,1
49256,9e-06,udp,-,INT,2,0,168,0,111111.1072,254,0,74666664.0,0.0,0,0,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,84,0,0,0,3,2,1,1,1,1,0,0,0,2,1,0,Reconnaissance,1
49265,1.282687,tcp,-,FIN,10,8,564,354,13.253429,254,252,3168.349121,1933.441406,2,1,142.422333,176.537859,8852.296803,273.30225,255,2667501091,3072228369,255,0.117917,0.046915,0.071002,56,44,0,0,6,1,1,1,1,1,0,0,0,2,4,0,Reconnaissance,1
49266,1.661257,tcp,-,FIN,10,8,564,354,10.233215,254,252,2446.340332,1492.845459,2,1,181.522667,167.821719,11050.98719,240.784891,255,3675050162,645131678,255,0.591206,0.486504,0.104702,56,44,0,0,1,1,2,1,1,1,0,0,0,1,1,0,Reconnaissance,1
49294,5e-06,ipx-n-ip,-,INT,2,0,200,0,200000.0051,254,0,160000000.0,0.0,0,0,0.005,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,6,2,2,2,2,6,0,0,0,2,6,0,Reconnaissance,1
49302,1.027794,tcp,-,FIN,10,8,564,354,16.540279,254,252,3954.099854,2412.934814,2,1,111.772667,139.887281,8350.014109,204.043219,255,347454711,2440710599,255,0.104484,0.04858,0.055904,56,44,0,0,10,1,2,1,1,1,0,0,0,3,3,0,Reconnaissance,1
49308,5e-06,udp,-,INT,2,0,168,0,200000.0051,254,0,134400000.0,0.0,0,0,0.005,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,84,0,0,0,1,2,2,1,1,1,0,0,0,1,8,0,Reconnaissance,1
49319,0.78749,tcp,-,FIN,10,8,564,354,21.587575,254,252,5160.700195,3149.246338,2,1,82.415111,103.449289,5839.840708,144.395391,255,1807443142,620591812,255,0.125749,0.063327,0.062422,56,44,0,0,2,1,1,1,1,1,0,0,0,1,1,0,Reconnaissance,1
49324,0.264756,tcp,http,FIN,10,6,918,268,56.655941,254,252,24989.04688,6768.496582,2,1,26.682667,43.120801,1413.424009,61.831719,255,318031776,1603008482,255,0.101702,0.049143,0.052559,92,45,1,0,1,1,2,1,1,3,0,0,1,1,1,0,Reconnaissance,1
49327,5e-06,udp,-,INT,2,0,168,0,200000.0051,254,0,134400000.0,0.0,0,0,0.005,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,84,0,0,0,1,2,1,1,1,1,0,0,0,1,1,0,Reconnaissance,1
49330,0.656971,tcp,-,FIN,10,8,564,354,25.876333,254,252,6185.96582,3774.900391,2,1,70.862778,89.710711,5480.782458,132.817594,255,2384793721,2561789118,255,0.04974,0.028991,0.020749,56,44,0,0,1,1,1,1,1,1,0,0,0,1,1,0,Reconnaissance,1
49349,9e-06,ddx,-,INT,2,0,200,0,111111.1072,254,0,88888888.0,0.0,0,0,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,4,2,1,1,1,4,0,0,0,1,4,0,Reconnaissance,1
49366,9e-06,udp,-,INT,2,0,168,0,111111.1072,254,0,74666664.0,0.0,0,0,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,84,0,0,0,15,2,1,1,1,1,0,0,0,2,1,0,Reconnaissance,1
49379,6e-06,uti,-,INT,2,0,200,0,166666.6608,254,0,133333328.0,0.0,0,0,0.006,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,2,2,1,1,1,2,0,0,0,1,2,0,Reconnaissance,1
49385,1.093625,tcp,-,FIN,10,8,564,354,15.544634,254,252,3716.082031,2267.687744,2,1,116.839444,148.873281,8911.085555,210.490281,255,1583633086,3977903935,255,0.116144,0.051507,0.064637,56,44,0,0,2,1,2,1,1,1,0,0,0,1,1,0,Reconnaissance,1
49398,4e-05,swipe,-,INT,1,0,60,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,60,0,0,0,3,2,3,3,3,3,0,0,0,3,3,0,Reconnaissance,1
49399,9e-06,sm,-,INT,2,0,200,0,111111.1072,254,0,88888888.0,0.0,0,0,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,2,2,1,1,1,2,0,0,0,19,2,0,Reconnaissance,1
49404,1.089362,pim,-,INT,8,0,480,0,6.425779,254,0,3084.374023,0.0,0,0,155.623141,0.0,372.314781,0.0,0,0,0,0,0.0,0.0,0.0,60,0,0,0,1,2,1,1,1,1,0,0,0,1,1,0,Reconnaissance,1
49446,9e-06,udp,-,INT,2,0,168,0,111111.1072,254,0,74666664.0,0.0,0,0,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,84,0,0,0,14,2,1,1,1,1,0,0,0,5,1,0,Reconnaissance,1
49452,1.447233,tcp,http,FIN,10,8,774,354,11.746554,254,252,3852.869629,1713.614868,2,1,156.619667,199.437141,11778.25104,300.245687,255,4185668641,4111234729,255,0.081553,0.051164,0.030389,77,44,1,0,1,1,1,1,1,2,0,0,1,1,1,0,Reconnaissance,1
49457,0.760143,tcp,-,FIN,10,8,564,354,22.364214,254,252,5346.362793,3262.544189,2,1,84.460333,106.52043,5912.029916,146.933266,255,3071326966,1102968692,255,0.065213,0.013804,0.051409,56,44,0,0,1,1,1,1,1,1,0,0,0,1,1,0,Reconnaissance,1
49460,0.201102,tcp,http,FIN,10,6,822,268,74.589013,254,252,29437.79688,8910.900391,2,1,20.229222,38.419398,1069.664112,63.016879,255,1721144374,847506892,255,0.059656,0.008996,0.05066,82,45,1,0,3,1,1,2,1,2,0,0,1,2,2,0,Reconnaissance,1
49461,0.713905,tcp,-,FIN,10,8,564,354,23.812693,254,252,5692.634277,3473.851562,2,1,77.696,99.227711,6119.792794,149.587516,255,1137803917,4181872369,255,0.036777,0.019303,0.017474,56,44,0,0,1,1,1,1,1,1,0,0,0,1,1,0,Reconnaissance,1
49467,9e-06,udp,-,INT,2,0,168,0,111111.1072,254,0,74666664.0,0.0,0,0,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,84,0,0,0,1,2,1,1,1,1,0,0,0,1,1,0,Reconnaissance,1
49469,0.624891,tcp,-,FIN,10,8,564,354,27.204745,254,252,6503.53418,3968.692139,2,1,69.031111,88.182859,5435.591213,138.235656,255,4143430653,1909268081,255,0.051803,0.007601,0.044202,56,44,0,0,1,1,1,1,1,1,0,0,0,1,1,0,Reconnaissance,1
49473,0.677835,tcp,-,FIN,10,8,564,354,25.07985,254,252,5995.55957,3658.70752,2,1,75.315,95.285289,5474.657914,136.048062,255,2918791667,3852490771,255,0.054571,0.009951,0.04462,56,44,0,0,1,1,1,1,1,1,0,0,0,1,1,0,Reconnaissance,1
49477,0.637165,tcp,-,FIN,10,8,564,354,26.680687,254,252,6378.253418,3892.241455,2,1,70.270333,89.918,5531.058034,140.2,255,1195166324,431965698,255,0.053264,0.00773,0.045534,56,44,0,0,2,1,1,1,1,1,0,0,0,1,1,0,Reconnaissance,1
49480,6e-06,udp,-,INT,2,0,168,0,166666.6608,254,0,112000000.0,0.0,0,0,0.006,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,84,0,0,0,1,2,1,1,1,1,0,0,0,1,1,0,Reconnaissance,1
49486,0.629369,tcp,http,FIN,10,6,828,268,23.833394,254,252,9482.512695,2847.296143,2,1,59.484111,113.393,3106.194533,148.634437,255,1372333032,3547302180,255,0.139613,0.062395,0.077218,83,45,1,0,1,1,1,1,1,1,0,0,1,2,1,0,Reconnaissance,1
49494,9e-06,udp,-,INT,2,0,168,0,111111.1072,254,0,74666664.0,0.0,0,0,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,84,0,0,0,2,2,1,1,1,1,0,0,0,2,1,0,Reconnaissance,1
