,feature,importance
0,dur,0.06751187559298692
1,service,0.05609243622044158
2,spkts,0.008138062857394525
3,dpkts,0.035757245745387696
4,sbytes,0.16142454308167767
5,dbytes,0.038505111215196806
6,rate,0.07233384004104032
7,sttl,0.003208833114794279
8,dttl,0.015673615970458302
9,sload,0.0877101088111805
10,dload,0.02255400977071642
11,sloss,0.001328410756812918
12,dloss,0.0014728786698363216
13,sinpkt,0.007369109728171511
14,dinpkt,0.007631528369119829
15,sjit,0.001730885377414387
16,djit,0.0005060993574861065
17,swin,0.0020874567935033573
18,stcpb,0.0003113302133419544
19,dtcpb,0.00031121953357294825
20,dwin,0.0020867978796133015
21,tcprtt,0.0009763998492172779
22,synack,0.001120020111304309
23,ackdat,0.0007580030598821999
24,smean,0.027438905238217143
25,dmean,0.018853659947105708
26,trans_depth,6.989957174427741e-05
27,response_body_len,0.0011133654356942186
28,ct_srv_src,0.029504328476756544
29,ct_state_ttl,0.017210275698583976
30,ct_dst_ltm,0.009328417296010822
31,ct_src_dport_ltm,0.06417190876333648
32,ct_dst_sport_ltm,0.18970010669250761
33,ct_dst_src_ltm,0.014934263023829246
34,is_ftp_login,7.807620197951313e-06
35,ct_ftp_cmd,1.2249490527696215e-05
36,ct_flw_http_mthd,0.0001361086587401508
37,ct_src_ltm,0.016506566909672518
38,ct_srv_dst,0.013554851400375156
39,is_sm_ips_ports,0.0008574636561491183
