,feature,importance
0,dur,0.05934476472803102
1,service,0.0061786087089859216
2,spkts,0.01236075178756526
3,dpkts,0.011193463888948093
4,sbytes,0.12102879643779003
5,dbytes,0.01636751404251257
6,rate,0.052953527560977744
7,sttl,0.03186985212452255
8,dttl,0.003063356192229106
9,sload,0.08180660941046183
10,dload,0.026607304831738194
11,sloss,0.008649676892844195
12,dloss,0.0049745080604520235
13,sinpkt,0.04057100891403354
14,dinpkt,0.017611112358461918
15,sjit,0.01745213058660415
16,djit,0.017534774921607616
17,swin,0.0024384238203822373
18,stcpb,0.010270645742182002
19,dtcpb,0.011242839459046652
20,dwin,0.00024232443035851348
21,tcprtt,0.01788038510454769
22,synack,0.02024591412954355
23,ackdat,0.013853364892674044
24,smean,0.10142918743821562
25,dmean,0.021806649742600857
26,trans_depth,0.0015681133963800177
27,response_body_len,3.794899142066487e-05
28,ct_srv_src,0.037047840168131986
29,ct_state_ttl,0.009228415948460213
30,ct_dst_ltm,0.012732094656662188
31,ct_src_dport_ltm,0.012163979385586565
32,ct_dst_sport_ltm,0.00012141433628765506
33,ct_dst_src_ltm,0.0925528795168599
34,is_ftp_login,0.0
35,ct_ftp_cmd,0.0
36,ct_flw_http_mthd,0.0017204649927251227
37,ct_src_ltm,0.013362878587278675
38,ct_srv_dst,0.09047911285945336
39,is_sm_ips_ports,7.3609534365966165e-06
