,feature,importance
0,dur,0.03925762728290475
1,service,0.16227093163704945
2,spkts,0.03304296222236953
3,dpkts,0.031063962423124435
4,sbytes,0.10312183959089945
5,dbytes,0.060285061914883
6,rate,0.019320581784568303
7,sttl,0.017703100397823166
8,dttl,0.007042641657370231
9,sload,0.04420520791389065
10,dload,0.02182433054643738
11,sloss,0.031878316903545034
12,dloss,0.02921308532549052
13,sinpkt,0.019173664536044292
14,dinpkt,0.013495426973679354
15,sjit,0.015469944706389429
16,djit,0.010542386071189925
17,swin,0.0003120999322079433
18,stcpb,0.00737202006594282
19,dtcpb,0.006053245757988653
20,dwin,0.0003428102550665081
21,tcprtt,0.012730665218529712
22,synack,0.014973400605953686
23,ackdat,0.020828761680833457
24,smean,0.08564236562558425
25,dmean,0.04298940014730627
26,trans_depth,0.026844646674018556
27,response_body_len,0.011147365800012009
28,ct_srv_src,0.019585023204288517
29,ct_state_ttl,0.0073244015950522144
30,ct_dst_ltm,0.003506659509969729
31,ct_src_dport_ltm,0.0028316811850816006
32,ct_dst_sport_ltm,0.0016295849303205475
33,ct_dst_src_ltm,0.02504319541157048
34,is_ftp_login,0.0
35,ct_ftp_cmd,0.0
36,ct_flw_http_mthd,0.024927647352065815
37,ct_src_ltm,0.006875139060102057
38,ct_srv_dst,0.020080567410947284
39,is_sm_ips_ports,4.824668949911002e-05
